Consolidated Item List,,,,,,,,Commodity Type,Item Count,Item Type,Item Count
1859,HEYCO STRAIN RELEIF,HEY,700,"1,845",0,Electrical & Wiring,Strain Relief,,,Anchor,13
1863,1863 ALUMINUM SOLDERLESS,HEY,700,"1,600",0,Electrical & Wiring,Lug / Terminal,,,Strain Relief,11
2043,#2043 SNAP BUSHING SB437-5 BLK,HEY,700,"20,500",0,Electrical & Wiring,Electrical Component,,,Adhesive / Tape,10
2053,"1/2"" SNAP BUSHING BLACK HEYCO",CC,700,500,"5,000",Electrical & Wiring,Electrical Component,,,Shim,7
2066,2066 HEYCO ***ROHS COMPLIANT**,HEY,700,"2,000",0,Electrical & Wiring,Electrical Component,,,Abrasive / Cutting,6
2096,HEYCO 2096 SNAP BUSHING BLACK,HWE,700,495,0,Electrical & Wiring,Electrical Component,,,Bearing,4
2119,2119 HEYCO UNIVERSAL BUSHING,HEY,700,"1,120","10,000",Electrical & Wiring,Electrical Component,,,Bushing / Grommet,2
2137,HEYCO 2137 BUSHING  UB-1.000,HWE,700,0,"2,500",Electrical & Wiring,Electrical Component,,,Brush,1
2166,2166 HEYCO COLLAR 1 1/8 THK,FE,700,"1,730",0,Electrical & Wiring,Electrical Component,,,,
2215,Digimatic Indicator,ACC-SP,100,2,0,Tools & Tooling,Gauge / Measurement,,,,
2248,#8 RETAINING FLAT WASHER NYLON,VIP,700,"50,770",0,Fasteners,Washer,,,,
2258,2258 HEYCO,HEY,700,900,0,Electrical & Wiring,Electrical Component,,,,
2259,HEYCO 2259 NUT FOR CABLE GLAND,HEY,700,"1,000",0,Electrical & Wiring,Wire / Cable,,,,
2280,SR155 #3(X) AF2 BG,PIBSI,700,30,0,Hardware & Fittings,Hardware Component,,,,
2302,2302 HEYCO HOSE CLAMP NYLON,HEY,700,50,0,Electrical & Wiring,Electrical Component,,,,
2314,HEYCO ITEM 2314 -MPI -,MPI,700,500,0,Electrical & Wiring,Electrical Component,,,,
2355,# 8 ZIP IT NYLON WALL ANCHOR,PETERS,700,"3,000",0,Fasteners,Anchor,,,,
2400,2400  HEYCO  PLASTIC BUSHING,FE,700,500,0,Electrical & Wiring,Electrical Component,,,,
2411,HEYCO 2411 HOLE PLUG,HEY,700,400,0,Electrical & Wiring,Electrical Component,,,,
2494,HEYCO 2494,HEY,700,"10,360",0,Electrical & Wiring,Electrical Component,,,,
2518,5/16-18x.760 THIN HX 1/2 AF,SII,800,"12,200",0,Fasteners,Screw,,,,
2552,5/16-18 X 1-1/8 TRIM SQUARE HD,TRIEM,800,"1,700",0,Fasteners,Bolt,,,,
2603,"2603 HEYCO 1/4"" DOME PLUG",RCDUDE,700,0,"2,000",Electrical & Wiring,Electrical Component,,,,
2604,"2604 HEYCO 1/4"" DOME PLUG",CC,700,"5,000",0,Electrical & Wiring,Electrical Component,,,,
2613,2613 HEYCO BLACK HOLE PLUG,FE,700,1,0,Electrical & Wiring,Electrical Component,,,,
2617,2617 HEYCO BLACK HOLE PLUG,CC,700,"3,000",0,Electrical & Wiring,Electrical Component,,,,
2633,2633 HEYCO 7/16 HOLE PLUG,FE,700,"10,150",0,Electrical & Wiring,Electrical Component,,,,
2703,HEYCO 2703 7/8 HOLE PLUG BLACK,HEY,700,"1,400",0,Electrical & Wiring,Electrical Component,,,,
2723,DP-1375 DOME PLUG 1-3/8 PER,HWE,700,"1,200",0,Electrical & Wiring,Electrical Component,,,,
2753,2753 - DP 1375 BLACK DOME PLUG,HEY,700,"2,257",0,Electrical & Wiring,Electrical Component,,,,
2783,2783 HEYCO,CC,700,500,0,Electrical & Wiring,Electrical Component,,,,
2850,2850 HEYCO  **ROHS COMPLIANT**,CC,700,250,0,Electrical & Wiring,Electrical Component,,,,
2865,HEYCO 2865,HEY,700,"15,390",0,Electrical & Wiring,Electrical Component,,,,
2871,HEYCO #2871 BUSHING,FE,700,507,0,Electrical & Wiring,Electrical Component,,,,
3046,3046 HEYCO,HEY,700,"2,000",0,Electrical & Wiring,Electrical Component,,,,
3207,HEYCO 3207 CABLE FITTING,HEYCO,700,"7,450",0,Electrical & Wiring,Wire / Cable,,,,
3231,LIQUID TIGHT FITTING LTF 1/2,HEY,700,"3,700",0,Hardware & Fittings,Fitting / Valve,,,,
3234,HEYCO 3234 LIQUID TIGHT,FE,700,3,0,Electrical & Wiring,Electrical Component,,,,
3314,"1/4"" WHITE WIRE CLAMP",FE,700,770,0,Electrical & Wiring,Wire / Cable,,,,
3348,3348 KEYSTONE FLAT WASHER,LEEJOH,700,"1,000",0,Fasteners,Washer,,,,
3638,HEYCO 3638,HEY,700,250,"5,000",Electrical & Wiring,Electrical Component,,,,
3847,3847 HEYCO PUSH MOUNT WIRE,HEY,700,250,0,Electrical & Wiring,Wire / Cable,,,,
4313,PIC 4-40X5/32 SHOULDER SCREW,ALPHA,800,"5,000",0,Fasteners,Screw,,,,
4327,4327 PIC 1/4 x 3/16 SLOT,ALPHA,700,"1,000",0,Fasteners,Screw,,,,
4760,HEYCO 4760,HEY,700,"1,830",0,Electrical & Wiring,Electrical Component,,,,
6607,DERMA LITE GLOVES MEDIUM,SASSAF,400,25,0,Miscellaneous/MRO,Safety / MRO,,,,
6623,3/8 D/C 2 SCR NMC CONN 6623,OCW,700,500,0,Electrical & Wiring,Connector,,,,
6624,3/4 D/C 2SCRW TOPAZ 952 ONLY,TOPAZ,704-BALB,"3,513","3,000",Hardware & Fittings,Hardware Component,,,,
6625,"1"" NM & SE ROUND CABLE CLAMP",TOPAZ,700,"3,000",0,Electrical & Wiring,Wire / Cable,,,,
8223,STANDOFF 4-40 X 1.125,WJRC,700,750,0,Fasteners,Spacer / Standoff,,,,
8414,KEYSTONE 6-32 X 1/2 1/4 HEX MF,HI-Q,700,150,0,Fasteners,Bolt,,,,
11403,1/4 HOOK AND EYE TURN BUCKLE,HMC,700,50,0,Hardware & Fittings,Fitting / Valve,,,,
12178,HEYCO 12178,HEY,700,5,0,Electrical & Wiring,Electrical Component,,,,
14225,7/16-20 X 9-16 SLOTTED SET,LUGS,700,20,0,Electrical & Wiring,Lug / Terminal,,,,
28861,1/4 M BSPT X 1/4 FIP ADAPTER,MIDLAN,700,0,"2,484",Hardware & Fittings,Fitting / Valve,,,,
33466,"RING TERMINAL NON-INSLTD,CRIMP",MOUSER,700,100,0,Electrical & Wiring,Lug / Terminal,,,,
36260,ROUND SPACER .115 ID X .188 OD,ESSENTRA,700,"6,000",0,Fasteners,Spacer / Standoff,,,,
38201,GROMMET RUBBER 2 HOLE PER,HULESQ,800,"1,650",0,Hardware & Fittings,Bushing / Grommet,,,,
44167,1-3/8 SCRATCH BRUSH 7-1/2 X,AIRGAS,400,17,200,Hardware & Fittings,Brush,,,,
50111,4-40X.226 BRASS THRDED INSERT,PENCOM,700,0,"9,850",Fasteners,Insert,,,,
57130,3/16 ROUND PUSH NUT PER ABCOR,IF,700,"31,000",0,Fasteners,Nut,,,,
65011,"CAM LOCK DISC TUMBLER 7/8""",EBERHARD,700,262,0,Hardware & Fittings,Hardware Component,,,,
66518,LARGE RAVEN GLOVES 6 MIL,SASSAF,400,60,0,Miscellaneous/MRO,Safety / MRO,,,,
66521,NITRILE POWDER FREE 4 MIL,SASSAF,400,4,0,Miscellaneous/MRO,Safety / MRO,,,,
66523,NITRILE POWDER FREE 4 MIL,SASSAF,400,3,0,Miscellaneous/MRO,Safety / MRO,,,,
78252,INS 51/6-32 / .150 EK,PPROD,700,800,0,Fasteners,Insert,,,,
78253,8-32 BRASS INSERT,PPROD,700,"2,000",0,Fasteners,Insert,,,,
81996,JC3/830/OMNI/IP65/LED,HAYWAR,700,180,0,Electrical & Wiring,Electrical Component,,,,
82143,JC10/RGBW/LED,HAYWAR,700,0,60,Electrical & Wiring,Electrical Component,,,,
91209,"5/16"" X 0.319 ID X 0.687 OD",QUALSE,700,"3,000",0,Fasteners,Screw,,,,
100265,100265 BALL BEARING 3/32,SALEMS,700,"14,000",0,Hardware & Fittings,Bearing,,,,
102124,1 1/2 WIRE CLAMP STEEL ZINC,HANGZHOU,901-HAYEND,"8,000","105,000",Electrical & Wiring,Wire / Cable,,,,
104901,104901 SPECIAL SEMI-TUBULAR,VFG,800,"95,260",0,Fasteners,Rivet,,,,
109588,109588 (A367-400),SWG,800,"23,798",0,Hardware & Fittings,Hardware Component,,,,
120202,.281 HOLE X 1.26 LONG X-MAS B,KINTL,700,"1,000",0,Hardware & Fittings,Hardware Component,,,,
152674,152674 BUMPER RUBBER 1/2 DIA,RLSEAL,700,871,0,Hardware & Fittings,Hardware Component,,,,
170782,"3/4 X 12"" BLACK ONE WRAP CABLE",HANGZHOU,902-CHAN,"11,500","20,000",Electrical & Wiring,Wire / Cable,,,,
202114,BNC MALE SHORTING CAP,FE,602,469,"1,000",Hardware & Fittings,Hardware Component,,,,
301050,"4 1/2' X 7/8"" HOLE, AOX FIBRE",CHAMPI,400,250,0,Fasteners,Screw,,,,
439210,"REDUCER BUSHING-1.5"" M X 3/4""",LASCO,700,0,300,Electrical & Wiring,Electrical Component,,,,
830002,"PVC COUPLING 1/4"" NPT",LASCO,700,100,0,Hardware & Fittings,Fitting / Valve,,,,
838210,"REDUCER BUSHING-1.5"" M X 3/4""",VNE,700,1,0,Electrical & Wiring,Electrical Component,,,,
850002,"1/4"" NPT PVC PIPE PLUG",lasco,700,4,0,Electrical & Wiring,Electrical Component,,,,
915030,PDO083-TZ-15 8.3 DOME,HAYWAR,700,60,0,Hardware & Fittings,Hardware Component,,,,
915454,PTH055-AB-12 5.5,HAYWAR,700,10,0,Hardware & Fittings,Hardware Component,,,,
938724,"15"" X 1500 'STRETCH FILM 90GA",CONTIN,400,25,0,Packaging & Labeling,Packaging,,,,
995314,BSB062-TZ 6.2,HAYWAR,700,60,0,Hardware & Fittings,Hardware Component,,,,
995407,FRF057-TB FLOOD REFLECTOR,HAYWAR,700,61,0,Hardware & Fittings,Hardware Component,,,,
995502,BCB065-AB 6.5,HAYWAR,700,60,0,Hardware & Fittings,Hardware Component,,,,
997015,TR15SS1-INT-150,HAYWAR,700,60,0,Hardware & Fittings,Hardware Component,,,,
998140,DMT027-TB 2.7,HAYWAR,700,2,0,Hardware & Fittings,Hardware Component,,,,
998141,DMT027-TZ 2.7,HAYWAR,700,92,28,Hardware & Fittings,Hardware Component,,,,
998142,DMT027-AB 2.7 DECK MOUNT,HAYWAR,700,10,0,Hardware & Fittings,Hardware Component,,,,
1427308,WASHER SINGLE WAVE BERILLIUM,SMC,700,"2,000",0,Fasteners,Washer,,,,
1754504,PLUGGABLE TERMINAL BLOCKS 5,DIGIKE,602,200,0,Electrical & Wiring,Lug / Terminal,,,,
1803581,CONN 3 POS PHOENIX,DIGIKE,602,60,0,Electrical & Wiring,Connector,,,,
1803594,TERM BLOCK PLUG 4POS,DIGIKE,602,410,"1,000",Electrical & Wiring,Electrical Component,,,,
1803617,TERM BLOCK PLUG 6POS STR 3.81M,DIGIKE,602,693,0,Electrical & Wiring,Electrical Component,,,,
1803633,TERM BLOCK PLUG 8POS STR 3.81M,TTI,602,670,0,Electrical & Wiring,Electrical Component,,,,
1840382,TERM BLOCK PLUG 4POS STR 3.5MM,DIGIKE,602,404,"1,000",Electrical & Wiring,Electrical Component,,,,
1911981,"CONN,PLUG 4 PIN 3.81MM",DIGIKE,602,327,"1,000",Electrical & Wiring,Connector,,,,
5001360,THERMOBARB NYLON CONNECTOR,NEWAGE,700,"1,000",0,Electrical & Wiring,Connector,,,,
8560110,MOLEX 08560110,FE,700,"2,000",0,Electrical & Wiring,Connector,,,,
9851005,"1/2"" CL 150 FLANGE - CPVC -",LASCO,700,7,0,Hardware & Fittings,Fitting / Valve,,,,
10100011,3/8 OETIKER CLAMP 5842767,EFC,700,"1,600",0,Hardware & Fittings,Fitting / Valve,,,,
10500074,OETIKER P/N 10500074,KINEQUIP,700,"1,400","8,000",Hardware & Fittings,Fitting / Valve,,,,
13006618,"6"" DIGITAL CALIPER",ACC-SP,100,5,0,Tools & Tooling,Gauge / Measurement,,,,
13006623,"6"" DIGITAL CALIPER",ACC-SP,100,5,0,Tools & Tooling,Gauge / Measurement,,,,
13006625,"6"" DIGITAL CALIPER",ACC-SP,100,2,0,Tools & Tooling,Gauge / Measurement,,,,
15100023,15100023 OETIKER CLAMP 304 S.S,EFC,700,"1,428",0,Hardware & Fittings,Fitting / Valve,,,,
52015710,SKINTOP 52015710,POWERT,700,100,0,Electrical & Wiring,Strain Relief,,,,
70011640,"PANEL LIGHT, 12V LED RED",RSAMERICA,700,2,0,Electrical & Wiring,Electrical Component,,,,
70011642,"PANEL LIGHT, 12V LED GREEN",RSAMERICA,700,2,0,Electrical & Wiring,Electrical Component,,,,
91631946,"PUSH ROD, MASTER CYLINDER, 6""",SPEEDWAY,700,2,0,Fasteners,Rod / Stud,,,,
2277010410,FRONT SLEEVE ASSEMBLY,GOEBEL,700,1,9,Hardware & Fittings,Hardware Component,,,,
7100008164,"2.5"" X 36 YARDS, DOUBLE SIDED",3M,700,2,0,Adhesives/Tape/Sealants,Adhesive / Tape,,,,
7100217883,1.880' X60YD  SCOTCHBLUE,3M,700,6,0,Adhesives/Tape/Sealants,Adhesive / Tape,,,,
7729069000,#8 CLIPPER WASHER PER PRINT,WWM,800,"1,500",0,Fasteners,Washer,,,,
66254400253,FLD FDSP 4- 1/2 X 7/8,SAINT-GOBA,700,20,0,Fasteners,Screw,,,,
66254447590,3/4 X 60 YDS YELLOW PREMIUM,SAINT-GOBA,700,144,0,Fasteners,Screw,,,,
66261021750,4 1/2 X 7/8 CFX-2FS NORTON,SAINT-GOBA,400,130,0,Fasteners,Screw,,,,
66261055235,8 X 2 X 3 IN. BEAR-TEX SERIES,SAINT-GOBA,700,1,0,Abrasives & Cutting,Abrasive / Cutting,,,,
66261149872,5 IN. SG PAPER PSA DISC,SAINT-GOBA,700,4,0,Abrasives & Cutting,Abrasive / Cutting,,,,
66623357608,ROTOLO FOAM  115X25M A275 NOR,SAINT-GOBA,700,2,0,Fasteners,Screw,,,,
78072721255,2 X 48 IN. METALITE R228 CLOTH,SAINT-GOBA,700,190,0,Abrasives & Cutting,Abrasive / Cutting,,,,
78072774094,"52""X 75"" SAND BELT",SAINT-GOBA,700,3,0,Abrasives & Cutting,Abrasive / Cutting,,,,
.875-.344-.040C-NC,OD .875 X ID .344 X THK .040,WWM,700,300,0,Hardware & Fittings,Hardware Component,,,,
.920-.515-.119HHB,"1/2""SCRW.515ID X.92OD X.100THK",WWM,700,547,0,Fasteners,Screw,,,,
000-2869-000-000,000-2869-000-000 REV C PER,SII,800,"19,689",0,Miscellaneous/MRO,Custom / Print Part,,,,
000509,"BUBBLE WRAP,NYL FILM",ULINE,700,3,0,Packaging & Labeling,Packaging,,,,
000-8687-000-000-E,000-8687-000-000 Rev-E WASHER,WWM,800,690,0,Fasteners,Washer,,,,
001-1634-005-000-F,001-1634-005-000 REV F,ACCU-WO,600-LEACH,600,0,Miscellaneous/MRO,Custom / Print Part,,,,
001-1674-012-000,SEMI TUB RIVET PER LEACH PRINT,SPS,700,"13,200",0,Fasteners,Rivet,,,,
001-1674-051-000,SEMITUBE 001-1674-051-000 PER,HRC,700,140,0,Fasteners,Rivet,,,,
001-1674-066-000,SEMI TUB RIVET PER PRINT,SPS,800,"97,725",0,Fasteners,Rivet,,,,
001-1674-072-000,SEMITUBE 001-1674-072-000,TRC,800,"70,587",0,Fasteners,Rivet,,,,
001-1674-073-000,SEMI TUB RIVET PER LEACH PRINT,HRC,701,"9,457",0,Fasteners,Rivet,,,,
001-1830-000-000,SPECIAL CONTACT HEX NUT PER,ACC-SP,801,"38,600",0,Fasteners,Nut,,,,
001-1920-000-000-B,.187 RND 4-40 THRDX.250 DEPTH,ACC-SP,801,200,0,Hardware & Fittings,Hardware Component,,,,
001-250-8340-00,"U-BOLT, 5/16-18, 3""ID ST ZINC",ACCU,700,2,0,Fasteners,Bolt,,,,
001-2913-000-000-K,001-2913-000-000 HARDWARE KIT,ACCU-WO,600-LEACH,150,0,Hardware & Fittings,Kit,,,,
0013743-1-PP,TORSION SPRING 302 STAINLESS,STERL,800,0,"4,352",Springs & Clips,Spring,,,,
001-4309-004-000,SPACER 001-4309-004-000-REV L,ACC-SP,801,725,0,Fasteners,Spacer / Standoff,,,,
001-4309-100-000-L,SPACER 001-4309-100-000-REV L,RABCOM,800,40,0,Fasteners,Spacer / Standoff,,,,
001-950-1330-00,"SPRING,CHECK, RIGHT WOUND",STERL,800,4,0,Springs & Clips,Spring,,,,
001-950-1331-00,"SPRING,CHECK, LEFT WOUND",STERL,800,4,0,Springs & Clips,Spring,,,,
001-9612-000-000-PLN,SLOT PAN M/S 4-40 X .130/.150,SONOMA,800,1,0,Fasteners,Screw,,,,
001-9728-003-000-P,001-9728-003-000 HARDWARE KIT,ACCU-WO,600-LEACH,500,0,Hardware & Fittings,Kit,,,,
002-0040-003-000-M,002-0040-003-000 HARDWARE KIT,ACCU-WO,600-WP,51,0,Hardware & Fittings,Kit,,,,
002-0484-000-000,"WASHER, ARMATURE .064 X .089 X",BREWST,800,"2,000","10,000",Fasteners,Washer,,,,
002-0519-000-000-J,002-0519-000-000 REV J,ACCU-WO,600-LEACH,45,0,Miscellaneous/MRO,Custom / Print Part,,,,
002-0519-006-000-J,002-0519-006-000 REV J,ACCU-WO,600-LEACH,59,0,Miscellaneous/MRO,Custom / Print Part,,,,
002-0519-106-000-J,002-0519-106-000 REV J,ACCU-WO,600-LEACH,100,0,Miscellaneous/MRO,Custom / Print Part,,,,
002-1757-100-000,002-1757-100-000 STANDOFF,FASCOM,800,0,"10,000",Fasteners,Spacer / Standoff,,,,
002-2327-037-000-PP,.218X .140 X .020+-.001 SHIM,WWM,800,0,"1,000",Hardware & Fittings,Shim,,,,
002-2589-000-000,.250X.531X.003 SHIM WASHER,SMC,800,100,0,Hardware & Fittings,Shim,,,,
002-3764-000-000,.270-.260X.510-.490X CURVED,ACC-SP,801,350,0,Fasteners,Screw,,,,
002-7311-005-000-K,002-7311-005-000 REV K,ACCU-WO,600-LEACH,95,0,Miscellaneous/MRO,Custom / Print Part,,,,
002-7312-006-000-D,002-7312-006-000 REV D,ACCU-WO,600-LEACH,122,0,Miscellaneous/MRO,Custom / Print Part,,,,
002-7682-110-000-F,002-7682-110-000 REV F,ACCU-WO,600-LEACH,6,0,Miscellaneous/MRO,Custom / Print Part,,,,
002-7842-000-000,002-7842-000-000-NC PER PRINT,WWM,800,"1,780",0,Miscellaneous/MRO,Custom / Print Part,,,,
002-9461-000-000,MFG PER,FASCOM,800,910,0,Miscellaneous/MRO,Custom / Print Part,,,,
002-9461-001-000,NYXSPR-00048-00 PRINT,LYN,800,722,0,Springs & Clips,Spring,,,,
002-9550-000-000-NC,SCREW SLOT HEAD PER PRINT 6-32,ACC-SP,800,350,0,Fasteners,Screw,,,,
002-9559-000-000-NC,SPACER RELAY MOUNTING PER,VMG,800,777,0,Fasteners,Spacer / Standoff,,,,
002-9814-000-000-B,"10-32X.939""OAL HHMS BRASS",ACC-SP,801,20,0,Fasteners,Bolt,,,,
0033206000-PP,CUSTOMER BUSHING,PRECI,800,"3,500",0,Electrical & Wiring,Electrical Component,,,,
0063396000-ZT,4-40 X 13/16 PAN HEAD WITH,KWOKTA,901-FEND,"91,140",0,Fasteners,Screw,,,,
0075598000,8-32 X 1 7/16 PHIL FLAT,KWOKTA,901-FEND,"24,000","75,000",Fasteners,Screw,,,,
00815-C00-PP,"TUBE, MILD STEEL, 1/2"" OD X",STMTAP,902,"79,800",0,Raw Materials & Metals,Raw Material,,,,
0093556000,Header Card Fender (B/R) Small,MGM,700,"7,000",0,Packaging & Labeling,Packaging,,,,
010256W018,2-56X3/16 PHIL PAN M/S NYLON,VIP,700,450,0,Fasteners,Screw,,,,
0103244301-PP,SHAFT VALVE FLAP .187+-.0015 X,GOFAST,902-HAY,"6,032","30,000",Hardware & Fittings,Fitting / Valve,,,,
01-13-160,PUSH MOUNT TENSION STYLE BOARD,ALLELE,700,"5,000",0,Hardware & Fittings,Hardware Component,,,,
01134-SS-PP,7/16 X 2.135 X 1.750 HEX HEAD,GOFAST,902-CHAN,"38,750","100,000",Fasteners,Bolt,,,,
011-70,OR011-70,CALIBE,704-RWL,"3,500",0,Hardware & Fittings,Hardware Component,,,,
0175-PP-ALT,1/4-20 THREAD 3/8 HEX 1/2 NUT,PENN,800,"4,000",0,Fasteners,Nut,,,,
018-20917-01,HOUDINI MOUNTING SCREWS KIT,ACCU-WO,600-NAV,2,0,Hardware & Fittings,Kit,,,,
018-26015-03,OUTSRCD ACCS PK HDS-9 LIVE,ACCU-WO,600-NAV,"2,150",0,Hardware & Fittings,Hardware Component,,,,
018-34372-00,018-34372-01 REVISION 0,ACCU-WO,600-NAV,198,0,Miscellaneous/MRO,Custom / Print Part,,,,
018-34372-01,018-34372-01 REVISION 1,ACCU-WO,600-NAV,301,0,Miscellaneous/MRO,Custom / Print Part,,,,
018-34817-00-KIT,"KIT-HW,MANAGEMENT,AT CRUNCH",ACCU-WO,600,"1,000",0,Hardware & Fittings,Kit,,,,
018-35176-00,@HW KIT RECON TM ACTIVETARGET,ACCU-WO,600-NAV,250,0,Hardware & Fittings,Kit,,,,
018-70-BUNA-N,OR018-70,CALIBE,700,"13,000",0,Hardware & Fittings,Hardware Component,,,,
02009732-A,10-32 X 1-3/16 DOUBLE END STUD,GOFAST,902-CHAN,"30,000",0,Fasteners,Rod / Stud,,,,
02009922,7/16 X 2-1/2 LOCKING BOLT PER,GOFAST,902-CHAN,"49,000","60,000",Fasteners,Bolt,,,,
02009923,7/16X3-1/4 LOCKING BOLT PER,GOFAST,902-CHAN,"40,320","85,000",Fasteners,Bolt,,,,
0202NP,1/8-27 X 1/8 HEX PANEL NUTS,XLSCRE,700,"7,000",0,Fasteners,Nut,,,,
02-03-16120L-UVB,"14"" 120 LB LOW PROFILE UV",COBRA,700,500,0,Hardware & Fittings,Hardware Component,,,,
027-70,OR027-70,CALIBE,800,"2,000",0,Hardware & Fittings,Hardware Component,,,,
028239DC,"4"" X 12 "" LONG .25 SKIRT 1.54",AUTOPA,800,"36,250",0,Fasteners,Screw,,,,
0287005.PXCN,FUSE 5A 32VDC FAST AUTOBLADE,FUSES,602,"9,227","11,500",Electrical & Wiring,Electrical Component,,,,
030-70-BN,OR030-70,CALIBE,800,"3,000",0,Hardware & Fittings,Hardware Component,,,,
03-1174-C,03-1174-C KNOB,ROGAN,700,"2,070",0,Hardware & Fittings,Hardware Component,,,,
031-6108,AMR031-6108 AMPHENOL KIT,FE,700,350,0,Hardware & Fittings,Kit,,,,
031BR003-53,5/16 - 7/8 RANGE HOSE CLAMP,STMTAP,901-HAY,"6,954","10,000",Hardware & Fittings,Hardware Component,,,,
032-0377-03,PUSH BUTTON WIRED ASSY,OUTDOORS,602,540,0,Hardware & Fittings,Hardware Component,,,,
032901HB,032901HB,PCC,800,"30,000",0,Hardware & Fittings,Hardware Component,,,,
035101HB,035101HB,PCC,800,935,0,Hardware & Fittings,Hardware Component,,,,
035701HB,035701HB,PCC,800,"5,000",0,Hardware & Fittings,Hardware Component,,,,
0360350,#8 SHOULDER WASHER TEFLON,SMC,700,400,0,Fasteners,Washer,,,,
037-0105-00,NUT 1-14UNS-2B POLE MOUNT,OUTDOORS,602,"1,049","5,000",Fasteners,Nut,,,,
037-0250,037-0250 DEK OR EQUAL,ALLELE,700,"3,500",0,Hardware & Fittings,Hardware Component,,,,
037-0384-02,PROTCT CAP- PX0733,BRAEMAC,602,498,0,Hardware & Fittings,Hardware Component,,,,
037-0491-01,T-CONN NMEA LTW,AMPHENOL,602,"2,020","6,500",Electrical & Wiring,Connector,,,,
037-0528-01,CONN WTRPRF CAP DVI LTW,AMPHENOL,602,40,0,Electrical & Wiring,Connector,,,,
037-0556-02,CONN 2 PO PHOENIX MSTB 2,TTI,602,46,"2,675",Electrical & Wiring,Connector,,,,
037-0568-01,USB PLASTIC DUSTCAP NON WTRPRF,DIGIKE,602,795,"1,500",Hardware & Fittings,Hardware Component,,,,
037-0569-01,HDMI PLASTIC DUSTCAP NON WTRPR,DIGIKE,602,107,"1,000",Hardware & Fittings,Hardware Component,,,,
037-0608-02,HDMI MALE CAP,OUTDOORS,602,"1,480",0,Hardware & Fittings,Hardware Component,,,,
037-23418-02,TERMINAL 120 OHM RES MALE BLK,OUTDOORS,602,524,0,Electrical & Wiring,Lug / Terminal,,,,
037-34192-00,@USB C CAP,OUTDOORS,902,600,0,Hardware & Fittings,Hardware Component,,,,
037-34866-00,"CAP, CONNECTOR, USB-C",OUTDOORS,602,0,"1,000",Electrical & Wiring,Connector,,,,
038101HB,038101HB,PCC,800,"25,000",0,Hardware & Fittings,Hardware Component,,,,
038301HB,038301HB,PCC,800,"15,000","20,000",Hardware & Fittings,Hardware Component,,,,
